漢字,画数,回数,年数
万,3,4,13
中,4,3,16
久,3,9,48
乾,11,1,2
亀,11,5,29
亨,7,1,4
享,8,8,60
仁,4,13,62
令,5,1,4
保,9,15,95
元,4,27,134.5
勝,12,1,9
化,4,3,25
吉,6,1,4
同,6,1,5
和,8,20,172
喜,12,3,33
嘉,14,12,48
国,8,1,8
大,3,6,44
天,4,27,202
字,6,1,9
安,6,17,88
宝,8,10,73
寛,13,15,114
寿,7,4,15
平,5,12,129
康,11,10,38
延,8,16,118
建,9,9,45
弘,5,8,56
徳,14,15,59.5
応,7,20,108
感,13,1,1
慶,15,9,62
成,6,1,31
承,8,14,75
授,11,1,7
政,9,3,33
文,4,19,151
斉,8,1,4
昌,8,1,4
明,8,7,101
昭,9,1,64
景,12,1,4
暦,14,16,98
朱,6,1,1
正,5,19,136
武,8,1,4
永,5,29,214
治,8,21,125
泰,10,1,4
白,5,1,5
祚,10,1,2
神,9,3,13
祥,10,1,4
禄,12,7,53
禎,13,1,4
福,13,1,2
老,6,1,8
至,6,1,4
興,16,1,8
衡,16,1,4
観,18,3,25
護,20,2,7
貞,9,8,47
銅,14,1,8
長,8,19,110
雉,13,1,5
雲,12,2,9
霊,15,1,3
養,15,3,12
鳥,11,1,1
